ID,CommuteMethod,ErrandsMethod,CommuteDistance,PrevResDist,Credits,Field,Recycle,CommuteTime,Languages,Countries,Cities,OwnCar,OnCampus,SocialTime,Weddings,VoiceCalls,Smartphones,Coffee,Siblings,LongestFlight,SportsHours,HarryPotter,Drinks,CashinWallet,CreditCards
1,Bike,Walk,1,7955,16,Physical Sciences,Sometimes,5,3,2,4,No,Yes,12,0,2,1,0,0,16,2,7,0,43,0
2,Bike,Bike,1,631,10,"Business, Economics, or Social Sciences",Occasionally,10,2,1,1,No,Yes,0,0,7,1,20,1,6,0,0,0,150,2
3,Car,Car,1,2690,0,Medical or Life Sciences,Sometimes,15,1,2,5,Yes,No,25,1,1,5,0,2,12,3,0,0.2,1,10
4,Public transit (e.g. Caltrain),Car,15,20,4,Engineering or Math/Statistics,Sometimes,30,1,1,4,Yes,No,10,2,1,2,6,1,13,3,6,4,0,1
5,Car,Car,11,0.3,10,"Business, Economics, or Social Sciences",Always,30,2,2,6,Yes,No,12,1,2,2,14,1,17,7,2,7,1,2
6,Bike,Car,4,1457.26,9,Engineering or Math/Statistics,Sometimes,23,2,2,4,"No, but I often rent/Zipcar",No,65,2,4,5,0,2,10,15,2,2,66,3
7,Walk,Bike,0.5,2690,20,"Business, Economics, or Social Sciences",Occasionally,3,4,4,8,No,Yes,5,3,4,1,0,1,20,3,0,1,145,3
8,Bike,Bike,1,83,4,Medical or Life Sciences,Always,10,2,3,7,Yes,Yes,15,2,1,2,1,1,14,8,7,0,77.12,3
9,Bike,Marguerite shuttle,0,30,15,Engineering or Math/Statistics,Sometimes,0,5,1,3,No,Yes,15,0,1,2,1,1,28,1,5,0,0,1
10,Bike,Car,,,7,Physical Sciences,Always,8,,3,5,Yes,Yes,15,4,,3,6,1,14,,4,0,42,5
11,Walk,Car,0.5,5373,16,Engineering or Math/Statistics,Sometimes,20,2,3,3,Yes,Yes,15,0,2,3,0,1,16,6,0,5,0,0
12,Bike,Car,1,5938.96,10,Engineering or Math/Statistics,Sometimes,10,2,3,3,"No, but I often rent/Zipcar",Yes,5,1,1,2,1,0,15,5,0,0,200,2
13,Walk,Car,1,5643,1,Engineering or Math/Statistics,Occasionally,10,2,2,2,"No, but I often rent/Zipcar",No,10,1,2,2,0,1,18,1,7,0,31,7
14,Bike,Bike,0.3,460,10,Engineering or Math/Statistics,Always,3,2,3,4,No,Yes,20,1,0,2,5,0,12,15,7,9,0,1
15,Bike,Car,1,5204,10,Engineering or Math/Statistics,Always,5,3,3,5,Yes,Yes,24,7,1,4,20,1,11,6,2,8,0,5
16,Walk,Marguerite shuttle,0,2472.92,22,Engineering or Math/Statistics,Always,0,2,1,2,"No, but I often rent/Zipcar",Yes,10,3,0,3,8,2,13,3,3,0,1,1
17,Bike,Car,1,2126,8,Engineering or Math/Statistics,Sometimes,5,1,1,4,Yes,No,10,2,5,3,0,1,16,4,0,2,40,8
18,Walk,Car,2,1848.78,10,Engineering or Math/Statistics,Always,15,3,3,4,Yes,Yes,10,0,5,3,3,2,15,1,1,0,28,8
19,Bike,Car,1,1761,5,Engineering or Math/Statistics,Always,15,5,2,3,Yes,No,8,2,5,3,1,0,16,3,5,0,4,5
20,Bike,Car,2,2690,10,Engineering or Math/Statistics,Always,10,3,2,4,Yes,Yes,10,0,1,4,4,1,12,3,7,6,2,2
21,Bike,Public transit (e.g. Caltrain),2,123,15,Engineering or Math/Statistics,Never,5,6,10,23,No,Yes,5,0,2,4,2,2,24,1,3,1,0,2
22,Bike,Bike,0.5,2500,9,Engineering or Math/Statistics,Occasionally,10,2,2,2,Yes,Yes,5,1,0.5,10,0.1,0,16,8,7,0.1,5,1
23,Walk,Car,0.9,34.3,9,Engineering or Math/Statistics,Sometimes,5,1,1,3,Yes,Yes,10,1,1,3,21,2,7,10,7,4,21,1
24,Walk,Bike,0,323.48,8,Engineering or Math/Statistics,Sometimes,0,1,1,2,No,Yes,25,0,1,1,0,2,5,0,7,7,87,2
25,Bike,Car,1.1,57,4,Physical Sciences,Always,8,2,1,4,Yes,Yes,12,3,2,1,0,2,4,6,0,0,79,1
26,Bike,Car,2,781,14,Engineering or Math/Statistics,Sometimes,15,1,1,5,Yes,No,6,3,3,3,14,3,12,5,2,5,4,1
27,Bike,Bike,1.3,5939,10,Engineering or Math/Statistics,Occasionally,10,2,2,3,No,Yes,8,0,6,5,10,0,14,2,1,1,50,2
28,Car,Car,1,2562,9,Engineering or Math/Statistics,Occasionally,20,3,3,5,Yes,No,25,2,1,5,1,2,12,3,5,0,25,12
29,Bike,Bike,0,2449,14,Engineering or Math/Statistics,Always,3,2,1,2,No,Yes,10,0,7,2,0,1,7,4,0,0,54,0
30,Car,Car,2,9172,5,Medical or Life Sciences,Occasionally,10,3,3,5,Yes,Yes,12,2,1,3,5,1,16,1,7,1,5,5